input,winner,operation,output,merge_cond,exhaust_ws,label_cons,case_agr,wh_agr,foc_agr,cl_agr,case,wh,foc,cl,case_mt,wh_mt,foc_mt,cl_mt,LB_DP,LB_V,LB_v,LB_T
[.. [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]],0,iMerge,[.. [T case] [.. [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]],1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[.. [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]],0,iMerge,[.. [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]] [.. [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]],0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[.. [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]],0,iMerge,[.. [DP case_agr] [.. [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]],0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[.. [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]],0,iMerge,[.. [V [V] [DP case_agr]] [.. [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]],0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[.. [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]],0,rMerge,[.. [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]],0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]],0,xMerge,[.. [C] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]],0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]],0,iMerge,[.. [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]],0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]],1,iMerge,[.. [DP case_agr] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]],0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]],0,iMerge,[.. [V [V] [DP case_agr]] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]],0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]],0,rMerge,[T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]],0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
