input,winner,probabilityBias,probability,harmonyBias,harmony,operation,output,label_cons_(34.37),exhaust_ws_(45.57),case_agr_(26.71),case_mt_(44.24),merge_cond_(56.59),case_(64.68),LB_DP_(100.00),LB_V_(34.93),LB_v_(1.41),LB_DP2_(0.00),LB_T_(31.40),LB_C_(17.35),cl_mt_(23.79),cl_(5.27),cl_agr_(22.05),wh_(5.27),wh_agr_(14.33),wh_mt_(36.69)
"wolofMatrix_[V [V] [DP case_agr,wh,cl]]",1,0.9869975532345779,0.9997453171799684,-75.61572039193953,-71.61572039193953,xMerge,"[.. [v case] [V [V] [DP case_agr,wh,cl]]]",1,0,1,0,0,0,0,0,0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0
"wolofMatrix_[V [V] [DP case_agr,wh,cl]]",0,2.626788661672051e-25,2.6607154750503456e-25,-132.20149793932447,-128.20149793932447,xMerge,"[.. [T case] [V [V] [DP case_agr,wh,cl]]]",1,0,1,0,1,0,0,0,0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0
"wolofMatrix_[V [V] [DP case_agr,wh,cl]]",0,2.626788661672051e-25,2.6607154750503456e-25,-132.20149793932447,-128.20149793932447,xMerge,"[.. [C wh_agr,cl_agr] [V [V] [DP case_agr,wh,cl]]]",1,0,1,0,1,0,0,0,0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0
"wolofMatrix_[V [V] [DP case_agr,wh,cl]]",0,2.626788661672051e-25,2.6607154750503456e-25,-132.20149793932447,-128.20149793932447,xMerge,"[.. [DP2 case_agr] [V [V] [DP case_agr,wh,cl]]]",1,0,1,0,1,0,0,0,0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0
"wolofMatrix_[V [V] [DP case_agr,wh,cl]]",0,0.012988911623793533,0.0002409728625790736,-79.94629191090252,-79.94629191090252,iMerge,"[.. [DP case_agr,wh,cl] [V [V] [DP case_agr,wh,cl]]]",1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"wolofMatrix_[V [V] [DP case_agr,wh,cl]]",0,1.3535141628596397e-05,1.370995745248909e-05,-86.81285384446967,-82.81285384446967,rMerge,"[V [V] [DP case_agr,wh,cl]]",0,1,1,0,0,0,0,0,0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0
"wolofMatrix_[.. [v case] [V [V] [DP case_agr,wh,cl]]]",1,0.9999999999999999,1.0,-83.89385385075376,-75.89385385075376,Label,"[v case [v case] [V [V] [DP case_agr,wh,cl]]]",0,0,2,0,0,0,0,0,1,0.0,0,0,0.0,2.0,0.0,2.0,0.0,0.0
"wolofMatrix_[.. [v case] [V [V] [DP case_agr,wh,cl]]]",0,1.8398424342010783e-25,3.3697889636996634e-27,-140.84880124123714,-136.84880124123714,Label,"[V [v case] [V [V] [DP case_agr,wh,cl]]]",0,0,1,0,0,1,0,1,0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0
"wolofMatrix_[.. [v case] [V [V] [DP case_agr,wh,cl]]]",0,1.0477477541305885e-21,1.9190169511138105e-23,-132.20149793932447,-128.20149793932447,xMerge,"[.. [T case] [.. [v case] [V [V] [DP case_agr,wh,cl]]]]",1,0,1,0,1,0,0,0,0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0
"wolofMatrix_[.. [v case] [V [V] [DP case_agr,wh,cl]]]",0,1.0477477541305885e-21,1.9190169511138105e-23,-132.20149793932447,-128.20149793932447,xMerge,"[.. [C wh_agr,cl_agr] [.. [v case] [V [V] [DP case_agr,wh,cl]]]]",1,0,1,0,1,0,0,0,0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0
"wolofMatrix_[.. [v case] [V [V] [DP case_agr,wh,cl]]]",0,1.0477477541305885e-21,1.9190169511138105e-23,-132.20149793932447,-128.20149793932447,xMerge,"[.. [DP2 case_agr] [.. [v case] [V [V] [DP case_agr,wh,cl]]]]",1,0,1,0,1,0,0,0,0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0
"wolofMatrix_[.. [v case] [V [V] [DP case_agr,wh,cl]]]",0,1.6932200015582243e-41,3.1012406107722364e-43,-177.7732106210408,-173.7732106210408,iMerge,"[.. [v case] [.. [v case] [V [V] [DP case_agr,wh,cl]]]]",1,1,1,0,1,0,0,0,0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0
"wolofMatrix_[.. [v case] [V [V] [DP case_agr,wh,cl]]]",0,1.6932200015582243e-41,3.1012406107722364e-43,-177.7732106210408,-173.7732106210408,iMerge,"[.. [V [V] [DP case_agr,wh,cl]] [.. [v case] [V [V] [DP case_agr,wh,cl]]]]",1,1,1,0,1,0,0,0,0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0
"wolofMatrix_[.. [v case] [V [V] [DP case_agr,wh,cl]]]",0,1.378838573391673e-23,4.625488112833211e-27,-136.53206945828745,-136.53206945828745,iMerge,"[.. [DP case_agr,wh,cl] [.. [v case] [V [V] [DP case_agr,wh,cl]]]]",1,1,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"wolofMatrix_[.. [v case] [V [V] [DP case_agr,wh,cl]]]",0,6.362156282348314e-17,1.1652695702118328e-18,-121.18743307365585,-117.18743307365585,rMerge,"[.. [v case] [V [V] [DP case_agr,wh,cl]]]",1,1,1,0,0,0,0,0,0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0
"wolofMatrix_[v case [v case] [V [V] [DP case_agr,wh,cl]]]",0,2.4834323653200216e-41,7.403007544676591e-38,-173.4426391020778,-165.4426391020778,xMerge,"[.. [T case] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",1,0,2,0,1,0,0,0,0,0.0,0,0,0.0,2.0,0.0,2.0,0.0,0.0
"wolofMatrix_[v case [v case] [V [V] [DP case_agr,wh,cl]]]",0,2.4834323653200216e-41,7.403007544676591e-38,-173.4426391020778,-165.4426391020778,xMerge,"[.. [C wh_agr,cl_agr] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",1,0,2,0,1,0,0,0,0,0.0,0,0,0.0,2.0,0.0,2.0,0.0,0.0
"wolofMatrix_[v case [v case] [V [V] [DP case_agr,wh,cl]]]",0,9.331324228551554e-17,2.781628548876901e-13,-116.85686155469284,-108.85686155469284,xMerge,"[.. [DP2 case_agr] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",1,0,2,0,0,0,0,0,0,0.0,0,0,0.0,2.0,0.0,2.0,0.0,0.0
"wolofMatrix_[v case [v case] [V [V] [DP case_agr,wh,cl]]]",0,1.22800452078537e-18,6.704677506720037e-17,-121.18743307365585,-117.18743307365585,iMerge,"[.. [V [V] [DP case_agr,wh,cl]] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",1,1,1,0,0,0,0,0,0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0
"wolofMatrix_[v case [v case] [V [V] [DP case_agr,wh,cl]]]",1,0.9999999999999999,0.9999999999997219,-79.94629191090252,-79.94629191090252,iMerge,"[.. [DP case_agr,wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"wolofMatrix_[v case [v case] [V [V] [DP case_agr,wh,cl]]]",0,1.2796464854637672e-21,3.814572411432087e-18,-128.053995007223,-120.05399500722298,rMerge,"[v case [v case] [V [V] [DP case_agr,wh,cl]]]",0,1,2,0,0,0,0,0,0,0.0,0,0,0.0,2.0,0.0,2.0,0.0,0.0
"wolofMatrix_[.. [DP case_agr,wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",1,1.0,1.0,0.0,0.0,Agree,"[.. [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"wolofMatrix_[.. [DP case_agr,wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,4.090722674083995e-73,3.0226579323974245e-72,-166.6799901411889,-164.6799901411889,Label,"[DP case_agr,wh,cl [DP case_agr,wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,0,0,0,0,1,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"wolofMatrix_[.. [DP case_agr,wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,2.993382679559776e-19,1.6343315664521998e-17,-42.652712688000435,-38.652712688000435,Label,"[v case [DP case_agr,wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,0,1,0,0,0,0,0,1,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0
"wolofMatrix_[.. [DP case_agr,wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,3.136309979762203e-40,3.136309979762203e-40,-90.96035677657113,-90.96035677657113,xMerge,"[.. [T case] [.. [DP case_agr,wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"wolofMatrix_[.. [DP case_agr,wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,3.136309979762203e-40,3.136309979762203e-40,-90.96035677657113,-90.96035677657113,xMerge,"[.. [C wh_agr,cl_agr] [.. [DP case_agr,wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"wolofMatrix_[.. [DP case_agr,wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,3.136309979762203e-40,3.136309979762203e-40,-90.96035677657113,-90.96035677657113,xMerge,"[.. [DP2 case_agr] [.. [DP case_agr,wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"wolofMatrix_[.. [DP case_agr,wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,5.068455425348639e-60,5.068455425348639e-60,-136.53206945828745,-136.53206945828745,iMerge,"[.. [DP case_agr,wh,cl] [.. [DP case_agr,wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",1,1,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"wolofMatrix_[.. [DP case_agr,wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,7.643205961550805e-96,2.2784075857689828e-92,-219.01435178379413,-211.01435178379413,iMerge,"[.. [v case [v case] [V [V] [DP case_agr,wh,cl]]] [.. [DP case_agr,wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",1,1,2,0,1,0,0,0,0,0.0,0,0,0.0,2.0,0.0,2.0,0.0,0.0
"wolofMatrix_[.. [DP case_agr,wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,6.224086175727264e-78,3.398235908415761e-76,-177.7732106210408,-173.7732106210408,iMerge,"[.. [V [V] [DP case_agr,wh,cl]] [.. [DP case_agr,wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",1,1,1,0,1,0,0,0,0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0
"wolofMatrix_[.. [DP case_agr,wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,1.9044368420234132e-35,1.9044368420234132e-35,-79.94629191090252,-79.94629191090252,rMerge,"[.. [DP case_agr,wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"wolofMatrix_[.. [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,3.4470359410109837e-66,4.665055854035053e-67,-166.6799901411889,-164.6799901411889,Label,"[DP wh,cl [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,0,0,0,0,1,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"wolofMatrix_[.. [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",1,1.0,1.0,-15.946888717813348,-11.946888717813348,Label,"[v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,0,0,0,0,0,0,0,1,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0
"wolofMatrix_[.. [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,2.6428027719607185e-33,4.840462122537823e-35,-90.96035677657113,-90.96035677657113,xMerge,"[.. [T case] [.. [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"wolofMatrix_[.. [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,2.6428027719607185e-33,4.840462122537823e-35,-90.96035677657113,-90.96035677657113,xMerge,"[.. [C wh_agr,cl_agr] [.. [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"wolofMatrix_[.. [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,2.6428027719607185e-33,4.840462122537823e-35,-90.96035677657113,-90.96035677657113,xMerge,"[.. [DP2 case_agr] [.. [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"wolofMatrix_[.. [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,4.270919690370126e-53,7.822462277160363e-55,-136.53206945828745,-136.53206945828745,iMerge,"[.. [DP wh,cl] [.. [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",1,1,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"wolofMatrix_[.. [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,6.440525978680427e-89,3.516408036763572e-87,-219.01435178379413,-211.01435178379413,iMerge,"[.. [v case [v case] [V [V] [DP case_agr,wh,cl]]] [.. [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",1,1,2,0,1,0,0,0,0,0.0,0,0,0.0,2.0,0.0,2.0,0.0,0.0
"wolofMatrix_[.. [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,5.2447086876857675e-71,5.2447086876857675e-71,-177.7732106210408,-173.7732106210408,iMerge,"[.. [V [V] [DP case_agr,wh,cl]] [.. [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",1,1,1,0,1,0,0,0,0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0
"wolofMatrix_[.. [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,1.6047683416500821e-28,2.9392357445735705e-30,-79.94629191090252,-79.94629191090252,rMerge,"[.. [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"wolofMatrix_[v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,2.661356789814205e-25,2.6613567898142925e-25,-105.49567396913739,-101.49567396913739,xMerge,"[.. [T case] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0
"wolofMatrix_[v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,2.661356789814205e-25,2.6613567898142925e-25,-105.49567396913739,-101.49567396913739,xMerge,"[.. [C wh_agr,cl_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0
"wolofMatrix_[v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",1,0.9999862867379902,0.9999862867380229,-48.909896421752435,-44.909896421752435,xMerge,"[.. [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0
"wolofMatrix_[v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,3.3193935461169026e-14,6.079681352027399e-16,-79.94629191090252,-79.94629191090252,iMerge,"[.. [DP wh,cl] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"wolofMatrix_[v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,4.0762302808973373e-32,4.0762302808974703e-32,-121.18743307365585,-117.18743307365585,iMerge,"[.. [V [V] [DP case_agr,wh,cl]] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",1,1,1,0,0,0,0,0,0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0
"wolofMatrix_[v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,1.37132619764825e-05,1.3713261976482947e-05,-60.10702987428257,-56.10702987428257,rMerge,"[v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,1,0,0,0,0,0,0,0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0
"wolofMatrix_[.. [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",1,0.9999906682466495,0.9999999768686808,-31.070634385132486,-21.070634385132486,Label,"[DP2 case_agr [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",0,0,0,0,0,0,0,0,0,1.0,0,0,0.0,2.0,0.0,2.0,0.0,0.0
"wolofMatrix_[.. [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",0,9.33175335047641e-06,2.313131925031995e-08,-42.652712688000435,-38.652712688000435,Label,"[v [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",0,0,1,0,0,0,0,0,1,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0
"wolofMatrix_[.. [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",0,4.760054667763848e-33,1.179910570218833e-35,-105.49567396913739,-101.49567396913739,xMerge,"[.. [T case] [.. [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]",1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0
"wolofMatrix_[.. [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",0,4.760054667763848e-33,1.179910570218833e-35,-105.49567396913739,-101.49567396913739,xMerge,"[.. [C wh_agr,cl_agr] [.. [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]",1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0
"wolofMatrix_[.. [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",0,7.692519253984278e-53,1.9068026341915607e-55,-151.0673866508537,-147.0673866508537,iMerge,"[.. [DP2 case_agr] [.. [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]",1,1,0,0,1,0,0,0,0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0
"wolofMatrix_[.. [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",0,7.692519253984278e-53,1.9068026341915607e-55,-151.0673866508537,-147.0673866508537,iMerge,"[.. [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]] [.. [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]",1,1,0,0,1,0,0,0,0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0
"wolofMatrix_[.. [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",0,1.580071142263486e-46,7.173578663983087e-51,-136.53206945828745,-136.53206945828745,iMerge,"[.. [DP wh,cl] [.. [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]",1,1,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"wolofMatrix_[.. [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",0,1.9403345058620644e-64,4.809653151110755e-67,-177.7732106210408,-173.7732106210408,iMerge,"[.. [V [V] [DP case_agr,wh,cl]] [.. [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]",1,1,1,0,1,0,0,0,0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0
"wolofMatrix_[.. [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",0,2.8904105582134844e-28,7.16467815591357e-31,-94.48160910346877,-90.48160910346877,rMerge,"[.. [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0
"wolofMatrix_[DP2 case_agr [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",0,5.214875071998918e-05,5.2148754274194796e-05,-73.30655801498817,-65.30655801498817,mtAgree,"[DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",0,0,0,1,0,0,0,0,0,0.0,0,0,0.0,2.0,0.0,2.0,0.0,0.0
"wolofMatrix_[DP2 case_agr [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",1,0.9999340705253568,0.9999341386760073,-63.445213614318675,-55.445213614318675,xMerge,"[.. [T case] [DP2 case_agr [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]",1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,2.0,0.0,2.0,0.0,0.0
"wolofMatrix_[DP2 case_agr [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",0,2.6612178219365095e-25,2.6612180033121934e-25,-120.03099116170361,-112.03099116170361,xMerge,"[.. [C wh_agr,cl_agr] [DP2 case_agr [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]",1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,2.0,0.0,2.0,0.0,0.0
"wolofMatrix_[DP2 case_agr [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",0,3.3192202175807374e-14,6.07936430407937e-16,-94.48160910346877,-90.48160910346877,iMerge,"[.. [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]] [DP2 case_agr [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]",1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0
"wolofMatrix_[DP2 case_agr [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",0,6.817797794786736e-08,2.287116520625854e-11,-79.94629191090252,-79.94629191090252,iMerge,"[.. [DP wh,cl] [DP2 case_agr [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]",1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"wolofMatrix_[DP2 case_agr [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",0,8.372286513798639e-26,1.5334378691092225e-27,-121.18743307365585,-117.18743307365585,iMerge,"[.. [V [V] [DP case_agr,wh,cl]] [DP2 case_agr [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]",1,1,1,0,0,0,0,0,0,0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0
"wolofMatrix_[DP2 case_agr [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",0,1.3712545912059561e-05,1.3712546846640106e-05,-74.64234706684881,-66.64234706684881,rMerge,"[DP2 case_agr [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",0,1,0,0,0,0,0,0,0,0.0,0,0,0.0,2.0,0.0,2.0,0.0,0.0
"wolofMatrix_[.. [T case] [DP2 case_agr [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]",1,1.0,1.0,-29.070634385132486,-21.070634385132486,Agree,"[.. [T case] [DP2 [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]",0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,2.0,0.0,2.0,0.0,0.0
"wolofMatrix_[.. [T case] [DP2 case_agr [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]",0,3.8180409220856104e-33,1.5403076427028877e-30,-103.7162050104904,-89.7162050104904,Label,"[T case [T case] [DP2 case_agr [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]",0,0,1,0,0,0,0,0,0,0.0,1,0,0.0,3.0,0.0,3.0,0.0,0.0
"wolofMatrix_[.. [T case] [DP2 case_agr [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]",0,1.0996341742621206e-29,8.125258601924091e-29,-95.75062452632139,-85.75062452632139,Label,"[DP2 case_agr [T case] [DP2 case_agr [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]",0,0,0,0,0,1,0,0,0,1.0,0,0,0.0,2.0,0.0,2.0,0.0,0.0
"wolofMatrix_[.. [T case] [DP2 case_agr [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]",0,3.136309979762225e-40,3.136309979762225e-40,-120.03099116170361,-112.03099116170361,xMerge,"[.. [C wh_agr,cl_agr] [.. [T case] [DP2 case_agr [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]",1,0,0,0,1,0,0,0,0,0.0,0,0,0.0,2.0,0.0,2.0,0.0,0.0
"wolofMatrix_[.. [T case] [DP2 case_agr [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]",0,5.06845542534853e-60,5.06845542534853e-60,-165.60270384341996,-157.60270384341996,iMerge,"[.. [T case] [.. [T case] [DP2 case_agr [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]]]",1,1,0,0,1,0,0,0,0,0.0,0,0,0.0,2.0,0.0,2.0,0.0,0.0
