input,winner,probabilityBias,probability,harmonyBias,harmony,operation,output,merge_cond_(56.59),exhaust_ws_(45.57),label_cons_(34.38),case_agr_(26.71),wh_agr_(14.33),foc_agr_(0.00),cl_agr_(22.05),case_(64.68),wh_(5.27),foc_(0.00),cl_(5.27),case_mt_(44.24),wh_mt_(36.69),foc_mt_(0.00),cl_mt_(23.79),LB_DP_(100.00),LB_V_(34.93),LB_v_(1.41),LB_T_(31.41),LB_C_(17.35),LB_DP2_(0.00)
"wolofMatrix_[.. [DP case_agr,wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,6.213085044117758e-78,3.39222949407426e-76,-177.77497969445534,-173.77497969445534,iMerge,"[.. [V [V] [DP case_agr,wh,cl]] [.. [DP case_agr,wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[.. [DP case_agr,wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,1.9033973625497512e-35,1.9033973625497512e-35,-79.94683787978857,-79.94683787978857,rMerge,"[.. [DP case_agr,wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[.. [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,3.44661274898785e-66,4.6644831259119106e-67,-166.68020720862017,-164.68020720862017,Label,"[DP wh,cl [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0
"wolofMatrix_[.. [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",1,1.0,1.0,-15.94698300787585,-11.94698300787585,Label,"[v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.0
"wolofMatrix_[.. [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,2.6388956039742327e-33,4.833305894746013e-35,-90.96193057887425,-90.96193057887425,xMerge,"[.. [T case] [.. [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[.. [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,2.6388956039742327e-33,4.833305894746013e-35,-90.96193057887425,-90.96193057887425,xMerge,"[.. [C wh_agr,cl_agr] [.. [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[.. [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,2.6388956039742327e-33,4.833305894746013e-35,-90.96193057887425,-90.96193057887425,xMerge,"[.. [DP2 case_agr] [.. [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[.. [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,4.264529968740158e-53,7.810759093762961e-55,-136.53366096831581,-136.53366096831581,iMerge,"[.. [DP wh,cl] [.. [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[.. [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,6.428606933900832e-89,3.5099004588122904e-87,-219.01629842059492,-211.01629842059492,iMerge,"[.. [v case [v case] [V [V] [DP case_agr,wh,cl]]] [.. [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",1,1,1,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[.. [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,5.235932288224556e-71,5.235932288224557e-71,-177.77497969445534,-173.77497969445534,iMerge,"[.. [V [V] [DP case_agr,wh,cl]] [.. [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[.. [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,1.6040436654462143e-28,2.9379084538074405e-30,-79.94683787978857,-79.94683787978857,rMerge,"[.. [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,2.6585756673103983e-25,2.6585756673104846e-25,-105.49702554885384,-101.49702554885384,xMerge,"[.. [T case] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,2.6585756673103983e-25,2.6585756673104846e-25,-105.49702554885384,-101.49702554885384,xMerge,"[.. [C wh_agr,cl_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",1,0.9999862797349459,0.9999862797349783,-48.91020246032661,-44.91020246032661,xMerge,"[.. [DP2 case_agr] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0
"wolofMatrix_[v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]",0,3.318597195282896e-14,6.078222784596956e-16,-79.94683787978857,-79.94683787978857,iMerge,"[.. [DP wh,cl] [v [DP wh,cl] [v case [v case] [V [V] [DP case_agr,wh,cl]]]]]",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
