input,winner,probability,harmony,operation,output,merge_cond_(58.05),exhaust_ws_(55.79),label_cons_(40.73),case_agr_(34.80),wh_agr_(0.00),foc_agr_(0.00),cl_agr_(0.00),case_(73.57),wh_(0.00),foc_(0.00),cl_(0.00),case_mt_(86.51),wh_mt_(0.00),foc_mt_(0.00),cl_mt_(0.00),LB_DP_(100.00),LB_V_(47.53),LB_v_(0.00),LB_DP2_(3.00),LB_T_(14.10),LB_C_(0.00)
accusative_[.. [DP case_agr] [v case [v case] [V [V] [DP case_agr]]]],0,1.2095567037787706e-42,-96.51831997378109,iMerge,[.. [DP case_agr] [.. [DP case_agr] [v case [v case] [V [V] [DP case_agr]]]]],0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
accusative_[.. [DP case_agr] [v case [v case] [V [V] [DP case_agr]]]],0,7.23059556830408e-73,-166.11039038119472,iMerge,[.. [v case [v case] [V [V] [DP case_agr]]] [.. [DP case_agr] [v case [v case] [V [V] [DP case_agr]]]]],0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
accusative_[.. [DP case_agr] [v case [v case] [V [V] [DP case_agr]]]],0,9.351906405624147e-58,-131.3143551774879,iMerge,[.. [V [V] [DP case_agr]] [.. [DP case_agr] [v case [v case] [V [V] [DP case_agr]]]]],0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
accusative_[.. [DP case_agr] [v case [v case] [V [V] [DP case_agr]]]],0,1.2095567037787706e-42,-96.51831997378109,rMerge,[.. [DP case_agr] [v case [v case] [V [V] [DP case_agr]]]],0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
accusative_[.. [DP] [v case [v case] [V [V] [DP case_agr]]]],0,4.157734141834027e-76,-173.5714968191087,Label,[DP [DP] [v case [v case] [V [V] [DP case_agr]]]],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,0,0
accusative_[.. [DP] [v case [v case] [V [V] [DP case_agr]]]],1,1.0,0.0,Label,[v [DP] [v case [v case] [V [V] [DP case_agr]]]],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0
accusative_[.. [DP] [v case [v case] [V [V] [DP case_agr]]]],0,1.2579596104033454e-43,-98.78166794717879,xMerge,[.. [DP2 case_agr] [.. [DP] [v case [v case] [V [V] [DP case_agr]]]]],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
accusative_[.. [DP] [v case [v case] [V [V] [DP case_agr]]]],0,1.2579596104033454e-43,-98.78166794717879,xMerge,[.. [T case] [.. [DP] [v case [v case] [V [V] [DP case_agr]]]]],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
accusative_[.. [DP] [v case [v case] [V [V] [DP case_agr]]]],0,1.2579596104033454e-43,-98.78166794717879,xMerge,[.. [C] [.. [DP] [v case [v case] [V [V] [DP case_agr]]]]],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
accusative_[.. [DP] [v case [v case] [V [V] [DP case_agr]]]],0,1.2095567037787713e-42,-96.51831997378109,iMerge,[.. [DP] [.. [DP] [v case [v case] [V [V] [DP case_agr]]]]],0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
accusative_[.. [DP] [v case [v case] [V [V] [DP case_agr]]]],0,7.230595568304085e-73,-166.11039038119472,iMerge,[.. [v case [v case] [V [V] [DP case_agr]]] [.. [DP] [v case [v case] [V [V] [DP case_agr]]]]],0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
accusative_[.. [DP] [v case [v case] [V [V] [DP case_agr]]]],0,9.351906405624153e-58,-131.3143551774879,iMerge,[.. [V [V] [DP case_agr]] [.. [DP] [v case [v case] [V [V] [DP case_agr]]]]],0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
accusative_[.. [DP] [v case [v case] [V [V] [DP case_agr]]]],0,1.2095567037787713e-42,-96.51831997378109,rMerge,[.. [DP] [v case [v case] [V [V] [DP case_agr]]]],0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
