input,winner,probability,harmony,operation,output,merge_cond_(68.93),exhaust_ws_(51.72),label_cons_(47.26),case_agr_(27.57),wh_agr_(0.00),foc_agr_(0.00),cl_agr_(0.00),case_(79.98),wh_(10.09),foc_(22.63),cl_(0.00),case_mt_(82.62),wh_mt_(0.00),foc_mt_(0.00),cl_mt_(0.00),LB_DP_(100.00),LB_V_(68.31),LB_v_(21.04),LB_T_(34.16),LB_C_(0.00),LB_DP2_(0.00)
unaccusative_[.. [DP case_agr] [v [v] [V [V] [DP case_agr]]]],1,1.0,-48.61147982579783,Label,[v [DP case_agr] [v [v] [V [V] [DP case_agr]]]],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
unaccusative_[.. [DP case_agr] [v [v] [V [V] [DP case_agr]]]],0,4.471692774013653e-30,-116.19126558203385,xMerge,[.. [T case] [.. [DP case_agr] [v [v] [V [V] [DP case_agr]]]]],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[.. [DP case_agr] [v [v] [V [V] [DP case_agr]]]],0,4.471692774013653e-30,-116.19126558203385,xMerge,[.. [C] [.. [DP case_agr] [v [v] [V [V] [DP case_agr]]]]],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[.. [DP case_agr] [v [v] [V [V] [DP case_agr]]]],0,1.3351425264967127e-22,-98.97931382409246,iMerge,[.. [DP case_agr] [.. [DP case_agr] [v [v] [V [V] [DP case_agr]]]]],0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[.. [DP case_agr] [v [v] [V [V] [DP case_agr]]]],0,1.512601986941367e-46,-154.1165627654916,iMerge,[.. [v [v] [V [V] [DP case_agr]]] [.. [DP case_agr] [v [v] [V [V] [DP case_agr]]]]],0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[.. [DP case_agr] [v [v] [V [V] [DP case_agr]]]],0,1.4211049357555706e-34,-126.54793829479203,iMerge,[.. [V [V] [DP case_agr]] [.. [DP case_agr] [v [v] [V [V] [DP case_agr]]]]],0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[.. [DP case_agr] [v [v] [V [V] [DP case_agr]]]],0,1.3351425264967127e-22,-98.97931382409246,rMerge,[.. [DP case_agr] [v [v] [V [V] [DP case_agr]]]],0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[v [DP case_agr] [v [v] [V [V] [DP case_agr]]]],1,0.9885596826326825,-74.82872873619746,xMerge,[.. [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]],0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[v [DP case_agr] [v [v] [V [V] [DP case_agr]]]],0,1.1444054128706737e-30,-143.75989005273343,xMerge,[.. [C] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]],1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[v [DP case_agr] [v [v] [V [V] [DP case_agr]]]],0,3.2102367034416705e-11,-98.97931382409246,iMerge,[.. [DP case_agr] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]],0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[v [DP case_agr] [v [v] [V [V] [DP case_agr]]]],0,3.416926008772354e-23,-126.54793829479203,iMerge,[.. [V [V] [DP case_agr]] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]],0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[v [DP case_agr] [v [v] [V [V] [DP case_agr]]]],0,0.011440317335215222,-79.28783402929416,rMerge,[v [DP case_agr] [v [v] [V [V] [DP case_agr]]]],0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[.. [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]],1,0.9999379013095983,-89.2925902669199,Label,[T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]],0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
unaccusative_[.. [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]],0,8.53062718364786e-18,-128.59539695458835,Label,[v [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]],0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0
unaccusative_[.. [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]],0,2.213733253730989e-24,-143.75989005273343,xMerge,[.. [C] [.. [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]],1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[.. [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]],0,7.651700614588255e-47,-195.479099611328,iMerge,[.. [T case] [.. [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]],1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[.. [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]],0,6.609688005742133e-17,-126.54793829479203,iMerge,[.. [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]] [.. [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]],0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[.. [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]],0,6.209869040142047e-05,-98.97931382409246,iMerge,[.. [DP case_agr] [.. [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]],0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[.. [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]],0,6.609688005742133e-17,-126.54793829479203,iMerge,[.. [V [V] [DP case_agr]] [.. [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]],0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
