input,winner,probability,harmony,operation,output,merge_cond_(59.09),case_(47.04),label_cons_(44.71),exhaust_ws_(54.45),foc_(17.29),case_mt_(57.30),case_agr_(30.95),LB_DP_(100.00),LB_V_(60.70),LB_v_(23.60),LB_DP2_(5.76),LB_T_(26.63),LB_C_(0.00),wh_agr_(0.00),foc_agr_(0.00),cl_agr_(0.00),wh_(0.00),cl_(0.00),wh_mt_(0.00),foc_mt_(0.00),cl_mt_(0.00)
"phrasal_[v case,foc [v case,foc] [V [V] [DP case_agr]]]",0,1.2538586804069072e-29,-165.7080973392685,xMerge,"[.. [C] [v case,foc [v case,foc] [V [V] [DP case_agr]]]]",1,0,1,0,0,0,2,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"phrasal_[v case,foc [v case,foc] [V [V] [DP case_agr]]]",0,3.599011534599261e-14,-130.1148874511303,iMerge,"[.. [V [V] [DP case_agr]] [v case,foc [v case,foc] [V [V] [DP case_agr]]]]",0,0,1,1,0,0,1,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"phrasal_[v case,foc [v case,foc] [V [V] [DP case_agr]]]",1,0.9994228594053383,-99.15993269045543,iMerge,"[.. [DP case_agr] [v case,foc [v case,foc] [V [V] [DP case_agr]]]]",0,0,1,1,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"phrasal_[v case,foc [v case,foc] [V [V] [DP case_agr]]]",0,3.377456649905772e-08,-116.36291317139853,rMerge,"[v case,foc [v case,foc] [V [V] [DP case_agr]]]",0,0,0,1,0,0,2,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"phrasal_[.. [DP case_agr] [v case,foc [v case,foc] [V [V] [DP case_agr]]]]",1,1.0,0.0,Agree,"[.. [DP] [v case,foc [v case,foc] [V [V] [DP case_agr]]]]",0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"phrasal_[.. [DP case_agr] [v case,foc [v case,foc] [V [V] [DP case_agr]]]]",0,4.2712362352837063e-72,-164.33422339377267,Label,"[DP case_agr [DP case_agr] [v case,foc [v case,foc] [V [V] [DP case_agr]]]]",0,1,0,0,1,0,0,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"phrasal_[.. [DP case_agr] [v case,foc [v case,foc] [V [V] [DP case_agr]]]]",0,2.026106114590273e-24,-54.55592645100029,Label,"[v case,foc [DP case_agr] [v case,foc [v case,foc] [V [V] [DP case_agr]]]]",0,0,0,0,0,0,1,0,0,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"phrasal_[.. [DP case_agr] [v case,foc [v case,foc] [V [V] [DP case_agr]]]]",0,8.337191923107552e-46,-103.79818781791877,xMerge,"[.. [DP2 case_agr] [.. [DP case_agr] [v case,foc [v case,foc] [V [V] [DP case_agr]]]]]",1,0,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"phrasal_[.. [DP case_agr] [v case,foc [v case,foc] [V [V] [DP case_agr]]]]",0,8.337191923107552e-46,-103.79818781791877,xMerge,"[.. [T case] [.. [DP case_agr] [v case,foc [v case,foc] [V [V] [DP case_agr]]]]]",1,0,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"phrasal_[.. [DP case_agr] [v case,foc [v case,foc] [V [V] [DP case_agr]]]]",0,8.337191923107552e-46,-103.79818781791877,xMerge,"[.. [C] [.. [DP case_agr] [v case,foc [v case,foc] [V [V] [DP case_agr]]]]]",1,0,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
